3 16666 49998
0 0 214.68485790831983 331.11280433658214
1 0 236.57702412290016 342.70998451717753
2 0 209.9037560922015 329.77698663333285
0 1 231.3851836236311 352.58084803617135
1 1 274.86489349458293 358.5731208267634
2 1 220.38183793268 381.2331621969025
0 2 344.679912763359 390.4137622227411
1 2 402.939241313831 380.3317516144434
2 2 339.57116236254086 447.29783066239906
0 3 187.27472577907707 142.53499594892278
1 3 60.61817224352622 196.97972146594472
2 3 229.91235132362988 35.819402073878095
0 4 281.5342624504404 104.65415460438852
1 4 104.93066706851569 143.2142450765552
2 4 309.7894547366151 8.100817090723611
0 5 310.1179514103815 331.32506059331206
1 5 381.0437616812491 322.20964901375424
2 5 299.07415007523014 414.05744058440615
0 6 313.0741646089381 336.07069358076956
1 6 387.7275751786731 326.2609411234559
2 6 301.64832032355713 422.9043478997418
0 7 209.25759284528004 254.82499899026377
1 7 229.51403859140234 271.62589343615736
2 7 210.4375990185614 275.29904958238876
0 8 114.05019372866913 136.0690223834147
1 8 42.483651355780395 202.36077509342746
2 8 162.82347112767982 61.00830761449357
0 9 234.17841170238165 303.07756773612664
1 9 273.23544896826246 310.6263451275223
2 9 227.33017013355578 339.1242191925486
0 10 284.03836374223005 375.76344548192105
1 10 357.0238192033861 371.56747656932714
2 10 269.7610640065852 452.03198915979664
0 11 218.4849310596558 330.20664336024333
1 11 248.50545837367082 340.3915632680309
2 11 211.85236343569952 341.76366583490653
0 12 300.152698638556 391.6668964236263
1 12 351.38804639610873 387.63153692439187
2 12 291.28695341890244 436.4822769430013
0 13 182.8912242523212 181.6562708239959
1 13 78.84094653332306 228.9367569672817
2 13 219.84337467937036 74.71004050122524
0 14 268.0235368337044 296.66420385696836
1 14 235.54939521146244 306.5690644928919
2 14 274.6635997841849 250.46782604144283
0 15 132.9315892863348 111.36303781470949
1 15 35.159661794654525 180.51651651062645
2 15 185.23137596282305 30.866888997659576
0 16 152.83557406487174 224.4033606762211
1 16 121.08493860578358 263.2048228923668
2 16 175.19871613722879 169.04500492410003
0 17 387.36730549776524 369.36376569385357
1 17 424.6024115737217 353.97173620882234
2 17 387.5567741537978 401.711619813993
0 18 189.9083077978674 237.92561514621798
1 18 202.09390205345278 261.0623545762756
2 18 195.67529220316618 248.2697184683679
